tick,event,pop,max_gen,season,avg_energy,avg_fat,avg_spd,avg_sen,avg_agg,avg_met,avg_wnd,avg_hue,avg_mut,avg_tmp,avg_diet,avg_tox,n_herb,n_carn,n_omni,min_pop,max_age,species,fossils,diseased,resources,dominant_genome
132,BOTTLENECK,9,21,winter,1.29,0.425,1.22,4.00,0.00,0.11,1.22,3.11,1.11,2.56,0.00,0.22,9,0,0,9,116,5,288,0,76,1 4 0 0 1 3 1 3 0 0
133,BOTTLENECK,8,21,winter,1.21,0.478,1.25,4.00,0.00,0.12,1.25,3.12,1.12,2.50,0.00,0.25,8,0,0,8,116,5,290,0,79,1 4 0 0 1 3 1 3 0 0
137,BOTTLENECK,7,21,winter,1.01,0.286,1.14,4.00,0.00,0.14,1.14,3.29,1.14,2.86,0.00,0.00,7,0,0,7,116,4,290,0,86,1 4 0 0 1 3 1 3 0 0
144,BOTTLENECK,6,21,winter,0.71,0.167,1.17,4.00,0.00,0.17,1.17,3.33,1.17,2.83,0.00,0.00,6,0,0,6,116,4,291,0,99,1 4 0 0 1 3 1 3 0 0
145,BOTTLENECK,4,21,winter,1.01,0.125,1.25,4.00,0.00,0.00,1.00,3.50,1.00,3.00,0.25,0.00,3,1,0,4,116,3,291,0,99,1 4 0 0 1 3 1 3 0 0
149,CRITICAL,3,21,winter,0.56,0.333,1.00,4.00,0.00,0.00,1.00,3.33,1.00,3.00,0.33,0.00,2,1,0,3,116,2,293,0,108,1 4 0 0 1 3 1 3 0 0
152,CRITICAL,2,21,winter,0.57,0.000,1.00,4.00,0.00,0.00,1.00,3.50,1.00,3.00,0.50,0.00,1,1,0,2,116,2,294,0,114,1 4 0 0 1 3 1 3 0 0
153,CRITICAL,1,21,winter,0.76,0.000,1.00,4.00,0.00,0.00,1.00,4.00,1.00,3.00,1.00,0.00,0,1,0,1,116,1,294,0,117,1 4 0 0 1 4 1 3 1 0
166,CRITICAL,0,21,winter,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,116,0,294,0,121,
166,TOTAL_EXTINCTION,0,21,winter,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,116,0,295,0,123,
